Alaska,12,AK
Alabama,733,AL
Arkansas,502,AR
Arizona,126,AZ
California,719,CA
Colorado,102,CO
Connecticut,126,CT
WashingtonDC,118,DC
Delaware,75,DE
Florida,367,FL
Georgia,980,GA
Hawaii,49,HI
Iowa,45,IA
Idaho,27,ID
Illinois,360,IL
Indiana,140,IN
Kansas,57,KS
Kentucky,426,KY
Louisiana,658,LA
Montana,345,MA
Maryland,312,MD
Maine,21,ME
Michigan,13,MI
Minnesota,66,MN
Missouri,343,MO
Mississippi,357,MS
Massachusetts,73,MT
NorthCarolina,806,NC
NorthDakota,8,ND
Nebraska,34,NE
NewHampshire,24,NH
NewJersey,361,NJ
NewMexico,74,NM
Nevada,73,NV
NewYork,1130,NY
Ohio,443,OH
Oklahoma,188,OK
Oregon,124,OR
Pennsylvania,1043,PA
RhodeIsland,52,RI
SouthCarolina,668,SC
SouthDakota,15,SD
Tennessee,336,TN
Texas,1040,TX
Utah,49,UT
Virginia,1362,VA
Vermont,26,VT
Washington,109,WA
Wisconsin,1,WI
WestVirginia,155,WV
Wyoming,23,WY
